Class	Cell #	Location	Area	Mean	Stdev	Nuclei	Aggregates	Aggregate area	Cytosolic agg	Cytosolic agg area	Perinuclear agg	Perinuclear agg area	Nuclear agg	Nuclear agg area	Aggresomes	Aggresome area	Distance
Cell	1	NA	31341.749	108.249	436.614	3	6	2.245	0	0	4	1.757	2	0.488	0	0.000	0.000
Cell	2	NA	1764.384	263.780	899.010	1	14	15.975	0	0	5	11.583	9	4.392	1	7.255	0.000
aggregate	1	nuclear	0.260	5219.625	940.778	0	0	0.000	0	0	0	0.000	0	0.000	0	0.000	10.296
aggregate	1	perinuclear	0.325	5423.700	1972.023	0	0	0.000	0	0	0	0.000	0	0.000	0	0.000	8.944
aggregate	1	perinuclear	0.423	5309.462	1026.788	0	0	0.000	0	0	0	0.000	0	0.000	0	0.000	8.602
aggregate	1	perinuclear	0.423	5206.846	1393.487	0	0	0.000	0	0	0	0.000	0	0.000	0	0.000	9.849
aggregate	1	perinuclear	0.586	5354.833	1113.479	0	0	0.000	0	0	0	0.000	0	0.000	0	0.000	9.849
aggregate	1	nuclear	0.228	7805.286	660.273	0	0	0.000	0	0	0	0.000	0	0.000	0	0.000	17.464
aggregate	2	nuclear	0.228	5060.000	851.429	0	0	0.000	0	0	0	0.000	0	0.000	0	0.000	13.454
aggregate	2	nuclear	0.228	5982.286	1791.044	0	0	0.000	0	0	0	0.000	0	0.000	0	0.000	11.180
aggregate	2	nuclear	0.325	5499.400	599.702	0	0	0.000	0	0	0	0.000	0	0.000	0	0.000	10.440
aggregate	2	perinuclear	1.627	6095.360	1424.620	0	0	0.000	0	0	0	0.000	0	0.000	0	0.000	9.849
aggregate	2	perinuclear	0.228	6353.714	1446.841	0	0	0.000	0	0	0	0.000	0	0.000	0	0.000	9.434
aggregate	2	nuclear	0.325	5944.200	834.756	0	0	0.000	0	0	0	0.000	0	0.000	0	0.000	11.662
aggregate	2	nuclear	1.562	6013.000	2229.343	0	0	0.000	0	0	0	0.000	0	0.000	0	0.000	17.804
aggregate	2	nuclear	0.553	6225.000	2090.828	0	0	0.000	0	0	0	0.000	0	0.000	0	0.000	15.811
aggregate	2	perinuclear	0.260	5287.625	727.935	0	0	0.000	0	0	0	0.000	0	0.000	0	0.000	7.071
aggresome	2	perinuclear	7.255	6905.843	2103.952	0	0	0.000	0	0	0	0.000	0	0.000	0	0.000	5.385
aggregate	2	perinuclear	2.212	6445.103	1836.883	0	0	0.000	0	0	0	0.000	0	0.000	0	0.000	6.403
aggregate	2	nuclear	0.586	6004.278	1690.548	0	0	0.000	0	0	0	0.000	0	0.000	0	0.000	13.038
aggregate	2	nuclear	0.228	5658.714	848.092	0	0	0.000	0	0	0	0.000	0	0.000	0	0.000	14.036
aggregate	2	nuclear	0.358	5929.909	1361.454	0	0	0.000	0	0	0	0.000	0	0.000	0	0.000	10.440
