File	Location	Distance	Area	Mean	StdDev
20240312_CKR_Exp35_STHdhQ97HA_96h_+MG132_CCT1_635P_HA_580_A11_460L_1.tif	nuclear	10.296	0.260	5219.625	940.778
20240312_CKR_Exp35_STHdhQ97HA_96h_+MG132_CCT1_635P_HA_580_A11_460L_1.tif	perinuclear	8.944	0.325	5423.700	1972.023
20240312_CKR_Exp35_STHdhQ97HA_96h_+MG132_CCT1_635P_HA_580_A11_460L_1.tif	perinuclear	8.602	0.423	5309.462	1026.788
20240312_CKR_Exp35_STHdhQ97HA_96h_+MG132_CCT1_635P_HA_580_A11_460L_1.tif	perinuclear	9.849	0.423	5206.846	1393.487
20240312_CKR_Exp35_STHdhQ97HA_96h_+MG132_CCT1_635P_HA_580_A11_460L_1.tif	perinuclear	9.849	0.586	5354.833	1113.479
20240312_CKR_Exp35_STHdhQ97HA_96h_+MG132_CCT1_635P_HA_580_A11_460L_1.tif	nuclear	17.464	0.228	7805.286	660.273
20240312_CKR_Exp35_STHdhQ97HA_96h_+MG132_CCT1_635P_HA_580_A11_460L_1.tif	nuclear	13.454	0.228	5060.000	851.429
20240312_CKR_Exp35_STHdhQ97HA_96h_+MG132_CCT1_635P_HA_580_A11_460L_1.tif	nuclear	11.180	0.228	5982.286	1791.044
20240312_CKR_Exp35_STHdhQ97HA_96h_+MG132_CCT1_635P_HA_580_A11_460L_1.tif	nuclear	10.440	0.325	5499.400	599.702
20240312_CKR_Exp35_STHdhQ97HA_96h_+MG132_CCT1_635P_HA_580_A11_460L_1.tif	perinuclear	9.849	1.627	6095.360	1424.620
20240312_CKR_Exp35_STHdhQ97HA_96h_+MG132_CCT1_635P_HA_580_A11_460L_1.tif	perinuclear	9.434	0.228	6353.714	1446.841
20240312_CKR_Exp35_STHdhQ97HA_96h_+MG132_CCT1_635P_HA_580_A11_460L_1.tif	nuclear	11.662	0.325	5944.200	834.756
20240312_CKR_Exp35_STHdhQ97HA_96h_+MG132_CCT1_635P_HA_580_A11_460L_1.tif	nuclear	17.804	1.562	6013.000	2229.343
20240312_CKR_Exp35_STHdhQ97HA_96h_+MG132_CCT1_635P_HA_580_A11_460L_1.tif	nuclear	15.811	0.553	6225.000	2090.828
20240312_CKR_Exp35_STHdhQ97HA_96h_+MG132_CCT1_635P_HA_580_A11_460L_1.tif	perinuclear	7.071	0.260	5287.625	727.935
20240312_CKR_Exp35_STHdhQ97HA_96h_+MG132_CCT1_635P_HA_580_A11_460L_1.tif	perinuclear	5.385	7.255	6905.843	2103.952
20240312_CKR_Exp35_STHdhQ97HA_96h_+MG132_CCT1_635P_HA_580_A11_460L_1.tif	perinuclear	6.403	2.212	6445.103	1836.883
20240312_CKR_Exp35_STHdhQ97HA_96h_+MG132_CCT1_635P_HA_580_A11_460L_1.tif	nuclear	13.038	0.586	6004.278	1690.548
20240312_CKR_Exp35_STHdhQ97HA_96h_+MG132_CCT1_635P_HA_580_A11_460L_1.tif	nuclear	14.036	0.228	5658.714	848.092
20240312_CKR_Exp35_STHdhQ97HA_96h_+MG132_CCT1_635P_HA_580_A11_460L_1.tif	nuclear	10.440	0.358	5929.909	1361.454
