Z-slice,Aggregate ID,Area,Perimeter,Circularity,Eccentricity,Solidity
1,1,29.0,24.1,0.63,0.69,0.66
1,2,9.0,8.2,1.0,0.84,0.82
2,1,33.0,24.3,0.7,0.79,0.75
2,2,22.0,19.5,0.73,0.85,0.71
2,3,12.0,10.4,1.0,0.76,0.71
3,1,42.0,23.7,0.94,0.79,0.91
3,2,28.0,19.9,0.89,0.88,0.93
3,4,9.0,7.6,1.0,0.56,0.9
3,5,12.0,11.1,1.0,0.88,0.71
3,6,10.0,9.7,1.0,0.83,1.0
4,1,70.0,29.9,0.98,0.69,0.93
4,2,39.0,23.1,0.92,0.89,0.98
4,4,10.0,8.8,1.0,0.68,1.0
4,5,46.0,26.3,0.84,0.87,0.88
4,6,11.0,9.4,1.0,0.71,1.0
4,7,19.0,14.9,1.0,0.96,0.76
4,8,32.0,26.3,0.58,0.97,0.6
4,9,27.0,16.2,1.0,0.57,1.0
4,10,11.0,9.7,1.0,0.27,1.0
4,11,13.0,10.7,1.0,0.91,0.81
4,12,10.0,8.8,1.0,0.68,1.0
4,13,9.0,8.4,1.0,0.69,0.9
4,14,11.0,8.4,1.0,0.88,0.85
4,15,11.0,9.4,1.0,0.71,1.0
4,16,9.0,8.4,1.0,0.81,0.69
4,17,14.0,13.1,1.0,0.89,0.78
5,1,91.0,41.5,0.66,0.73,0.85
5,2,29.0,19.3,0.98,0.65,0.76
5,5,52.0,27.3,0.88,0.88,0.9
5,7,24.0,19.3,0.81,0.94,0.83
5,8,54.0,35.1,0.55,0.9,0.73
5,9,36.0,20.5,1.0,0.56,0.95
5,11,31.0,25.3,0.61,0.89,0.78
5,12,14.0,10.8,1.0,0.67,1.0
5,15,11.0,9.4,1.0,0.71,1.0
5,16,10.0,8.8,1.0,0.61,1.0
5,17,81.0,57.8,0.3,0.87,0.53
5,18,14.0,11.7,1.0,0.67,0.93
5,19,10.0,8.8,1.0,0.61,1.0
5,20,13.0,10.8,1.0,0.81,1.0
5,21,14.0,10.8,1.0,0.67,1.0
5,22,15.0,14.1,0.95,0.91,0.79
5,23,32.0,22.9,0.77,0.87,0.82
6,1,84.0,36.7,0.78,0.81,0.88
6,5,21.0,18.0,0.81,0.93,0.68
6,8,26.0,16.5,1.0,0.79,1.0
6,9,36.0,21.1,1.0,0.7,0.88
6,11,14.0,12.7,1.0,0.88,0.82
6,17,48.0,36.2,0.46,0.88,0.6
6,18,22.0,15.3,1.0,0.62,0.96
6,20,10.0,8.2,1.0,0.65,0.91
6,21,17.0,12.8,1.0,0.48,0.94
6,23,18.0,15.9,0.89,0.87,0.86
6,24,10.0,8.2,1.0,0.65,0.91
6,25,56.0,28.1,0.89,0.67,0.89
6,26,9.0,8.2,1.0,0.69,1.0
7,17,14.0,11.8,1.0,0.81,0.78
7,18,22.0,14.5,1.0,0.69,1.0
7,23,10.0,9.4,1.0,0.71,0.77
7,24,21.0,14.8,1.0,0.46,0.95
7,25,113.0,49.4,0.58,0.65,0.9
8,24,31.0,22.1,0.8,0.92,0.78
8,25,143.0,58.1,0.53,0.84,0.84
9,24,34.0,26.5,0.61,0.86,0.74
9,25,145.0,50.0,0.73,0.84,0.89
10,24,10.0,9.2,1.0,0.93,0.77
10,25,101.0,44.0,0.65,0.89,0.86
10,27,17.0,14.7,0.99,0.65,0.81
11,25,80.0,37.2,0.73,0.74,0.85
11,27,16.0,14.1,1.0,0.68,0.8
12,25,72.0,34.8,0.75,0.8,0.85
12,28,11.0,9.4,1.0,0.71,1.0
