id,volume,centroid_z,centroid_y,centroid_x,mean_intensity,total_intensity
1,1883.0,3.5,633.9,320.1,38478.8,72455546
2,15.0,0.0,787.7,492.5,4702.1,70531
3,1369.0,4.0,935.6,494.0,38454.3,52643892
4,719.0,3.1,937.9,530.8,37133.1,26698695
5,48.0,3.0,586.8,284.1,43838.2,2104234
6,37.0,3.0,596.0,265.2,42123.8,1558580
7,33.0,4.0,315.7,726.0,45174.0,1490743
8,153.0,4.5,371.6,735.3,46564.5,7124368
9,99.0,4.6,378.2,712.4,46740.9,4627350
10,41.0,4.1,420.2,650.3,46709.5,1915091
11,116.0,4.1,435.3,645.5,46735.4,5421301
12,53.0,4.1,474.5,819.7,45983.3,2437113
13,55.0,4.2,485.1,803.9,46002.9,2530157
14,115.0,4.2,544.1,582.4,48783.1,5610052
15,41.0,4.1,631.1,260.5,46429.6,1903615
16,9.0,3.0,661.1,147.3,46129.7,415167
17,9.0,3.0,686.6,138.3,39148.7,352338
18,760.0,4.1,789.2,496.9,47406.6,36029003
19,21.0,3.5,821.4,395.0,45041.6,945874
20,44.0,5.1,148.2,804.3,45212.2,1989339
21,38.0,4.5,170.7,799.8,46327.2,1760434
22,34.0,5.1,174.4,737.2,45192.4,1536540
23,9.0,4.0,218.7,747.6,39729.3,357564
24,28.0,4.5,336.0,798.6,45130.4,1263650
25,9.0,4.0,351.0,790.0,46550.2,418952
26,16.0,4.0,361.8,696.1,44218.7,707499
27,19.0,4.5,374.1,687.9,46889.6,890903
28,16.0,4.0,377.5,651.0,47177.8,754845
29,26.0,4.3,377.7,670.1,45416.8,1180838
30,26.0,4.4,449.4,634.9,46774.1,1216126
31,33.0,4.4,462.9,798.6,45333.0,1495988
32,73.0,4.9,479.8,794.6,46660.2,3406197
33,23.0,4.6,484.3,780.2,43576.4,1002258
34,10.0,4.0,497.9,789.7,41010.8,410108
35,15.0,4.0,503.3,841.4,48429.6,726444
36,12.0,4.0,630.7,272.1,49072.7,588872
37,9.0,4.0,671.4,43.1,37330.7,335976
38,9.0,4.0,835.7,529.9,45261.9,407357
39,9.0,5.0,153.3,806.9,38520.7,346686
40,20.0,5.4,185.8,739.0,45199.2,903983
41,20.0,5.0,821.6,271.6,38302.7,766054
42,52.0,7.0,577.0,499.8,27757.7,1443400
43,256.0,7.4,268.1,664.4,26276.7,6726832
44,77.0,7.6,537.7,410.1,24520.7,1888097
45,29.0,7.5,832.0,741.8,23996.2,695891
46,10.0,8.0,154.7,973.7,22819.9,228199
47,195.0,8.6,764.1,950.1,25844.7,5039717
48,112.0,9.4,781.7,562.7,34301.8,3841806
49,32.0,8.4,795.9,562.3,25964.5,830865
